1766723400000,88713.65000000,89081.77000000,88713.65000000,89040.78000000,182.96534000,1766724299999,16270449.94475600,33549,132.21242000,11758169.76288520,0
1766724300000,89040.78000000,89153.17000000,88963.03000000,88969.24000000,130.02635000,1766725199999,11581126.18663320,35738,71.70643000,6387523.96564060,0
1766725200000,88969.24000000,89014.00000000,88914.21000000,88943.07000000,67.37003000,1766726099999,5993071.67729120,22132,32.69185000,2908170.17280130,0
1766726100000,88943.07000000,88943.08000000,88846.83000000,88915.78000000,74.79111000,1766726999999,6648338.25833140,20898,34.46285000,3063430.59533280,0
1766727000000,88915.78000000,88915.79000000,88828.06000000,88868.51000000,54.22742000,1766727899999,4818601.09770410,20423,19.93408000,1771381.85779870,0
1766727900000,88868.52000000,89045.71000000,88857.01000000,88996.58000000,84.83912000,1766728799999,7545139.95675890,26359,48.01907000,4270581.98019000,0
1766728800000,88996.58000000,89161.54000000,88996.58000000,89091.08000000,110.20907000,1766729699999,9815414.48073500,26976,62.29081000,5547373.19979400,0
1766729700000,89091.09000000,89152.00000000,89021.85000000,89081.26000000,104.49274000,1766730599999,9309589.13128500,25633,49.04816000,4370221.18856480,0
1766730600000,89081.26000000,89250.00000000,89049.56000000,89249.99000000,164.60769000,1766731499999,14670748.91364480,25549,114.15645000,10174797.85780030,0
1766731500000,89249.99000000,89250.00000000,89110.95000000,89124.24000000,133.46547000,1766732399999,11899922.99929370,31033,46.63727000,4158159.16677020,0
1766732400000,89124.24000000,89380.00000000,89124.23000000,89361.78000000,108.48739000,1766733299999,9680821.28214930,28646,63.63311000,5678693.03766530,0
1766733300000,89361.77000000,89567.75000000,89277.72000000,89422.18000000,354.09807000,1766734199999,31670126.85453200,52891,227.03900000,20305333.77218120,0
1766734200000,89422.18000000,89422.18000000,88763.74000000,88772.78000000,671.88686000,1766735099999,59789055.85956470,71931,259.04187000,23047232.50546630,0
1766735100000,88772.78000000,88808.96000000,88347.45000000,88470.75000000,664.76671000,1766735999999,58899364.88520440,64608,273.70271000,24248421.78258220,0
1766736000000,88470.75000000,88886.00000000,88414.81000000,88662.35000000,229.95480000,1766736899999,20389270.93618390,76913,123.79604000,10978006.96050050,0
1766736900000,88662.35000000,88782.00000000,88618.61000000,88725.50000000,105.98732000,1766737799999,9401535.92805170,51833,53.09955000,4709668.17334630,0
1766737800000,88725.50000000,88725.51000000,88564.78000000,88634.75000000,60.61370000,1766738699999,5372609.21339610,36923,22.00552000,1950453.32810290,0
1766738700000,88634.76000000,88748.11000000,88597.23000000,88742.28000000,53.30450000,1766739599999,4728319.18395070,22451,22.45861000,1992102.88110510,0
1766739600000,88742.28000000,88786.00000000,88649.63000000,88682.49000000,59.50823000,1766740499999,5279155.81562450,22247,21.20755000,1881384.80928020,0
1766740500000,88682.49000000,88863.02000000,88682.49000000,88744.02000000,143.66007000,1766741399999,12750157.53367310,25673,58.02463000,5150900.21625120,0
1766741400000,88744.02000000,88772.15000000,88722.43000000,88769.19000000,45.68429000,1766742299999,4054805.42810850,15813,24.20579000,2148348.14208930,0
1766742300000,88769.19000000,88918.59000000,88769.19000000,88811.76000000,114.49603000,1766743199999,10172574.70264320,24039,69.51025000,6175111.00159580,0
1766743200000,88811.77000000,88882.01000000,88755.29000000,88872.57000000,63.59254000,1766744099999,5647938.94117240,25760,33.55635000,2980291.02032130,0
1766744100000,88872.57000000,88872.58000000,88690.52000000,88820.93000000,65.60570000,1766744999999,5823838.41683840,25416,23.94795000,2125784.56269570,0
1766745000000,88820.93000000,88820.93000000,88680.00000000,88748.24000000,51.51824000,1766745899999,4570726.08483230,19929,22.62447000,2007270.64460820,0
1766745900000,88748.23000000,88860.00000000,88738.73000000,88748.34000000,64.34125000,1766746799999,5713226.26060690,23166,30.15976000,2677970.14975510,0
1766746800000,88748.35000000,88754.69000000,88661.00000000,88674.62000000,57.36813000,1766747699999,5088842.77095480,23850,16.67540000,1479198.37159790,0
1766747700000,88674.61000000,88685.99000000,88603.54000000,88603.55000000,42.12763000,1766748599999,3734617.34328500,14357,13.84553000,1227407.80696170,0
1766748600000,88603.54000000,88660.00000000,88551.67000000,88596.89000000,46.18749000,1766749499999,4092288.77443890,26317,16.91807000,1498965.73576890,0
1766749500000,88596.90000000,88611.73000000,88532.00000000,88533.42000000,46.37557000,1766750399999,4107382.18109890,19630,14.75849000,1307128.95368590,0
1766750400000,88533.43000000,88726.59000000,88533.42000000,88690.52000000,73.91019000,1766751299999,6551261.07959030,27798,40.65241000,3603449.67016030,0
1766751300000,88690.52000000,88702.30000000,88622.81000000,88702.30000000,28.18378000,1766752199999,2499115.42723830,17799,11.44337000,1014654.96427760,0
1766752200000,88702.29000000,88761.45000000,88644.50000000,88737.20000000,159.85050000,1766753099999,14179642.35495500,22585,27.19517000,2412470.46621100,0
1766753100000,88737.20000000,88756.18000000,88664.13000000,88678.90000000,76.41742000,1766753999999,6779931.74577540,16837,23.61848000,2095184.71279210,0
1766754000000,88678.89000000,88833.70000000,88618.14000000,88833.70000000,62.05973000,1766754899999,5507375.28462060,19445,35.96494000,3192095.78283950,0
1766754900000,88833.70000000,88839.00000000,88756.20000000,88770.66000000,57.87845000,1766755799999,5139842.32260310,18306,26.76312000,2376618.67955830,0
1766755800000,88770.66000000,89031.23000000,88763.44000000,88918.10000000,152.33481000,1766756699999,13546841.15580600,36351,101.20364000,8999136.23114740,0
1766756700000,88918.11000000,89050.00000000,88905.33000000,88992.88000000,88.54488000,1766757599999,7880156.49621660,28741,45.45994000,4045182.87170690,0
1766757600000,88992.88000000,89049.88000000,88905.00000000,88951.59000000,91.34460000,1766758499999,8126514.14242430,31147,44.56225000,3964566.52545060,0
1766758500000,88951.60000000,89011.91000000,88924.89000000,88967.93000000,102.87030000,1766759399999,9153506.45005040,20021,51.98572000,4625078.95133960,0
1766759400000,88967.93000000,89049.86000000,88274.90000000,88405.94000000,405.18608000,1766760299999,35936155.33537720,173228,183.21929000,16255635.40863360,0
1766760300000,88405.93000000,88440.00000000,87345.88000000,87380.43000000,1129.36291000,1766761199999,99128838.02293730,231156,401.75248000,35257585.13316510,0
1766761200000,87380.44000000,87381.00000000,86771.13000000,86776.13000000,1169.77808000,1766762099999,101783589.07335070,247042,418.87850000,36446776.40176890,0
1766762100000,86776.12000000,87119.07000000,86655.08000000,87007.97000000,1015.59354000,1766762999999,88251867.95024910,194126,414.90991000,36057796.92709690,0
1766763000000,87007.97000000,87165.80000000,86892.61000000,87039.15000000,988.02497000,1766763899999,85991161.13558480,139933,364.31992000,31706242.78196670,0
1766763900000,87039.16000000,87211.57000000,86967.60000000,87137.81000000,331.03410000,1766764799999,28833009.76270460,88876,195.15559000,16997064.05303400,0
1766764800000,87137.81000000,87259.31000000,87012.65000000,87012.66000000,236.71667000,1766765699999,20630677.99136980,93356,119.96794000,10455060.89866700,0
1766765700000,87012.66000000,87321.40000000,87012.66000000,87259.31000000,152.17703000,1766766599999,13271340.77993870,69820,78.16532000,6817127.38338900,0
1766766600000,87259.31000000,87380.00000000,87164.41000000,87283.85000000,125.49765000,1766767499999,10954788.85652080,72090,58.38059000,5095720.55598960,0
1766767500000,87283.85000000,87300.85000000,86850.38000000,86855.82000000,196.92513000,1766768399999,17140796.60200780,66478,55.05383000,4793006.54860600,0
1766768400000,86855.83000000,87086.85000000,86818.18000000,86992.62000000,118.97314000,1766769299999,10346744.75062530,57410,62.02774000,5394327.29460570,0
1766769300000,86992.63000000,87321.41000000,86985.03000000,87298.03000000,105.92246000,1766770199999,9229285.17048240,44901,60.68260000,5287926.75141330,0
1766770200000,87298.03000000,87463.77000000,87203.59000000,87384.70000000,156.00442000,1766771099999,13624353.36548170,53453,101.17593000,8835979.46285050,0
1766771100000,87384.69000000,87453.88000000,87268.68000000,87331.91000000,79.55967000,1766771999999,6949834.29641710,42569,43.65368000,3813298.13904430,0
1766772000000,87331.91000000,87380.00000000,87230.92000000,87336.00000000,88.94764000,1766772899999,7764465.96272240,33555,36.75815000,3208721.65205550,0
1766772900000,87336.00000000,87372.18000000,87215.43000000,87215.44000000,76.92402000,1766773799999,6716195.73526810,29064,42.87930000,3743745.80761760,0
1766773800000,87215.44000000,87322.97000000,87209.11000000,87218.68000000,132.82019000,1766774699999,11590053.17497840,38015,52.95454000,4620994.15258370,0
1766774700000,87218.69000000,87349.09000000,87117.11000000,87277.77000000,88.28352000,1766775599999,7703081.23318910,33149,51.57575000,4500583.85842180,0
1766775600000,87277.78000000,87388.27000000,87252.83000000,87316.64000000,91.28914000,1766776499999,7972543.96086190,22303,54.78663000,4784806.71326230,0
1766776500000,87316.64000000,87402.65000000,87246.00000000,87371.69000000,119.75349000,1766777399999,10462835.11870450,19626,67.67115000,5912315.95360680,0
